"device_id","device_name","model","serial_number","description","active"
"5","StomachYesNoDlg","0","0","Dialog asking if you are taking a stomach.","1"
"6","MaturityYesNoDlg","0","0","Dialog asking if the specimen is a spawner or non-spawner","1"
"27","SBE1","SBE39","","LEGACY-Headrope mounted pressure and temperature logger where no serial number was recorded.","0"
"4","yesnodlg","0","0","A Yes or No dialog","1"
"0","SoftwareInput","0","0","Data is entered via a generic software interface.","1"
"1","sexseldlg","0","0","The sex selection dialog.","1"
"2","numpad","0","0","The numberpad dialog.","1"
"3","matseldlg","0","0","The maturity selection dialog.","1"
"20","Marel_Small_scale","1","1","The small sample scale at CLAMS4","1"
"21","Marel_LargeScale","1","1","Our large basket scale on the Dyson.","1"
"22","Barcode_Reader","1","1","A barcode reader used to scan otolith vials or other sample tags.","1"
"23","Mace_lengthboard1","AFSC","AFSC01","The MACE Icthystick lengthboard.","1"
"24","Mace_Lengthboard2","AFSC","AFSC02","The MACE Icthystick lengthboard.","1"
"25","Mace_Lengthboard3","AFSC","AFSC03","The MACE Icthystick lengthboard.","1"
"100","GP170-Lat","GP170","","SCS device from DY Scientific gps unit","1"
"101","GP170-Lon","GP170","","SCS device from DY Scientific gps unit","1"
"102","GP170-SOG","GP170","","SCS device from DY Scientific gps unit","1"
"103","Gyro_TrueHDG","","","SCS Gyro Output","1"
"104","TrueWind-RAW-SPEED","","","SCS device from Young wind speed meter","1"
"105","TrueWind-RAW-DIRECTION","","","SCS device from Young wind speed meter","1"
"106","Mid-SeaTemp-C-Cal-VALUE","","","SCS device Furuno Mid hull temperature logger","1"
"107","EK80-SDDBS-Depth-m","","","SCS device from EK60 based on 18 kHz transducer","1"
"108","ITI-BearingToTarget","","","SCS device for ITI - Bearing to ITI headrope unit","1"
"109","ITI-Depth","","","SCS device for ITI - Depth of ITI headrope unit","1"
"110","ITI-RangeToTarget","","","SCS device for ITI - Range to headrope unit","1"
"26","SBE","SBE39","","LEGACY-Headrope mounted pressure and temperature logger where no serial number was recorded.","0"
"7","OvaryYesNoDlg","0","0","Dialog asking if you are taking a ovary.","1"
"300","Marel_Large_Scale","0","0","MACE Shop Test scale","1"
"301","Marel_Small_Scale","0","0","MACE Shop Test scale","1"
"302","MACE_Lengthboard4","0","0","MACE Shop Test Lengthboard","1"
"303","Barcode_Reader","0","0","MACE Shop Test Scanner","1"
"11","VialNumDlg","0","0","The vial number input dialog.","1"
"31","SBE_1797","SBE39","1797","Headrope mounted pressure and temperature logger.","0"
"32","SBE_00997","SBE39","00997","Headrope mounted pressure and temperature logger","0"
"33","SBE_0996","SBE39","0996","Headrope mounted pressure and temperature logger","0"
"34","SBE_1438","SBE39","1438","Headrope mounted pressure and temperature logger","0"
"45","SBE_1437","SBE39","1437","Headrope mounted pressure and temperature logger","0"
"113","TSG-SBE38-Temp","","","SCS device for TSG","1"
"8","TissueYesNoDlg","0","0","Dialog asking if you are taking a tissue sample.","1"
"9","OtolithYesNoDlg","0","0","Dialog asking if you are taking an otolith.","1"
"52","HeadTakenYesNoDlg","0","0","Dialog asking if a frozen sample was taken.","1"
"53","AdiposeConditionDlg","0","0","The description of the adipose fin condition (clipped, intact) ","1"
"54","FinClipTakenYesNoDlg","0","0","Dialog asking if a Fin Clip was taken.","1"
"55","AliveYesNoDlg","0","0","Dialog asking if a fish was alive when taken.","1"
"56","SexSelUnknownDlg","0","0","The sex selection dialog with male, female, unsex, unknown ","1"
"41","Label_Printer","TLP 2844","0","Label printer in fish lab at specimen station.","1"
"111","ITI-TrawlWaterTemp","","","SCS device for ITI - Temperature of ITI headrope unit","1"
"38","SBE_03908575","SBE39Plus","03908575","Pressure and Temp logger","0"
"39","SBE_0855","SBE39","0855","Headrope mounted pressure and temperature logger.","0"
"40","SBE_0995","SBE39","0995","Headrope mounted pressure and temperature logger.","0"
"42","SBE_3306","SBE39","3306","Headrope mounted pressure and temperature logger.","0"
"112","FS70-Depth","","","SCS device for FS70 depth output in meters","1"
"46","SBE_03909570","SBE39Plus","03909570","Pressure and Temp logger","1"
"47","SBE_03909568","SBE39Plus","03909568","Pressure and Temp logger","1"
"48","SBE_03909569","SBE39Plus","03909569","Pressure and Temp logger","1"
"12","SalmonCollectionDlg","0","0","The missing salmon fin dialog","1"
"10","Unknown_device","","","Device code for historic data","0"
"35","SBE_0999","SBE39","0999","Headrope mounted pressure and temperature logger.","0"
"36","SBE_0642","SBE39","00642","Headrope mounted pressure and temperature logger.","0"
"37","SBE_1396","SBE39","1396","Headrope mounted pressure and temperature logger.","0"
"114","TSG-SBE45-Sal","","","SCS device for TSg Salinity","1"
"505","CamTrawl","0","2","Camtrawl model 2 a.k.a. the turret","0"
"28","SBE_3304","SBE39","3304","Headrope mounted pressure and temperature logger.","0"
"29","SBE_0858","SBE39","0858","Headrope mounted pressure and temperature logger.","0"
"30","SBE_0854","SBE39","00854","Headrope mounted pressure and temperature logger.","0"
"19","Marel_Small_scale_2","1","1","The small sample at CLAMS3","1"
"18","Marel_Small_scale_3","M2000","","The small scale at CLAMS2","1"
"43","SBE_0997","SBE39","0997","Headrope mounted pressure and temperature logger","0"
"44","SBE_3776","SBE39","3776","Headrope mounted pressure and temperature logger.","0"
